serial,ad_name,ad_set_name,amount_spent,max_roas,scroll_stop_30,hook_hold_rate_40,hold_rate_20,frequency,reach,results,result_rate,cpr,cpc,ctr,3_sec_video,25_play,50_play,75_play,100_play
1728,ad_id_521,ad_set_019,78.71,0.33,44.57,37.43,16.68,1.1,6031,1,1.51,78.71,0.29,4.1,2944,2551,1753,1249,1004
1729,ad_id_1601,ad_set_069,127.03,0.55,43.98,36.24,15.94,1.17,8902,3,2.89,42.34,0.31,3.92,4561,3898,2680,1902,1519
1730,ad_id_1483,ad_set_061,107.27,0.42,44.22,35.12,15.53,1.11,7093,1,1.27,107.27,0.39,3.47,3471,2982,2002,1381,1108
1731,ad_id_1221,ad_set_026,41.22,0.0,43.69,32.06,14.01,1.07,3023,0,0.0,0.0,0.41,3.08,1419,1176,780,530,415
1732,ad_id_1484,ad_set_050,38.65,0.0,42.05,37.9,15.94,1.06,2839,0,0.0,0.0,0.33,3.91,1269,1087,761,536,452
1733,ad_id_540,ad_set_102,19.62,0.0,43.74,33.58,14.69,1.12,1357,0,0.0,0.0,0.58,2.23,667,565,367,251,208
1734,ad_id_1208,ad_set_027,21.38,0.0,44.35,35.0,15.52,1.1,2135,0,0.0,0.0,0.45,2.0,1040,864,576,412,328
1735,ad_id_1089,ad_set_018,71.1,1.62,45.34,35.3,16.0,1.06,5672,3,5.01,23.7,0.46,2.6,2717,2330,1558,1111,861
1736,ad_id_96,ad_set_107,29.18,0.0,48.49,31.47,15.26,1.07,1833,1,5.12,29.18,0.58,2.56,947,812,508,359,271
1737,ad_id_280,ad_set_018,52.87,0.72,48.85,31.15,15.22,1.03,3927,2,4.92,26.44,0.53,2.44,1984,1652,1057,716,564
1738,ad_id_526,ad_set_076,0.0,0.0,25.0,0.0,0.0,1.0,4,0,0.0,0.0,0.0,0.0,1,0,0,0,0
1739,ad_id_982,ad_set_111,0.19,0.0,45.45,20.0,9.09,1.0,11,0,0.0,0.0,0.0,0.0,5,2,1,0,0
1740,ad_id_766,ad_set_023,3.2,0.0,57.55,41.8,24.06,1.01,209,0,0.0,0.0,0.36,4.25,122,109,74,57,45
